标题,来源,下载方式,链接
鼻炎分类和诊断及鼻腔用药方案的专家共识,中国鼻病研究协作组,站内免费下载,https://guide.medlive.cn/guideline/19924
加速康复外科围手术期药物治疗管理医药专家共识,广东省药学会,站内免费下载,https://guide.medlive.cn/guideline/19716
吞咽障碍膳食营养管理中国专家共识（2019 版）,中国吞咽障碍膳食营养管理专家共识组,会员可通过APP阅读,https://guide.medlive.cn/guideline/20626
中国临床肿瘤学会（CSCO）持续/复发及转移性分化型甲状腺癌诊疗指南-2019,"中国临床肿瘤学会(CSCO,Chinese Society of Clinical Oncology)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22305
甜梦口服液( 胶囊) 临床应用专家建议,甜梦口服液( 胶囊) 临床应用建议专家组,站内免费下载,https://guide.medlive.cn/guideline/21271
尺神经阻滞疗法专家共识（2019版）,中国疼痛学专家组（统称）,站内VIP下载,https://guide.medlive.cn/guideline/21056
火针在皮肤科应用专家共识,中国中西医结合学会皮肤性病专业委员会,站内免费下载,https://guide.medlive.cn/guideline/20254
河南省肿瘤医院晚期乳腺癌诊疗专家共识,河南省肿瘤医院乳腺癌诊疗共识专家团队,有其他版本站内免费下载,https://guide.medlive.cn/guideline/20240
河南省肿瘤医院乳腺癌辅助内分泌治疗专家共识,河南省肿瘤医院乳腺癌诊疗共识专家团队,站内免费下载,https://guide.medlive.cn/guideline/20195
河南省肿瘤医院临床早期乳腺癌手术治疗专家共识,河南省肿瘤医院乳腺癌诊疗共识专家团队,有其他版本站内免费下载,https://guide.medlive.cn/guideline/20167
河南省肿瘤医院乳腺癌新辅助治疗专家共识,河南省肿瘤医院乳腺癌诊疗共识专家团队,有其他版本站内免费下载,https://guide.medlive.cn/guideline/20151
全身型幼年特发性关节炎诊断与治疗中国专家共识（2019年版）,中国医师协会儿科医师分会风湿免疫专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/20073
儿童质子泵抑制剂合理使用专家共识2019,中华医学会儿科学分会,站内免费下载,https://guide.medlive.cn/guideline/20072
喜炎平注射液治疗呼吸系统感染性疾病临床应用专家共识（成人版）,中医相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/19934
急诊检验能力建设与规范中国专家共识,"中华医学会检验医学分会(CSLM,Chinese Sciety of Laboratory Medicine)",站内免费下载,https://guide.medlive.cn/guideline/19722
何首乌安全用药指南,"中华中医药学会(CACM,China Association of Chinese Medcine)",站内免费下载,https://guide.medlive.cn/guideline/19721
中国骨科手术围手术期贫血诊疗指南,中国康复技术转化及发展促进会,站内免费下载,https://guide.medlive.cn/guideline/19717
咯血诊治专家共识,北京医师协会呼吸内科专科医师分会,站内免费下载,https://guide.medlive.cn/guideline/19713
超声引导下外周神经阻滞技术应用专家共识,国家卫健委能力建设和继续教育超声专科专家委员会,站内免费下载,https://guide.medlive.cn/guideline/20540
肝胆特异性对比剂钆塞酸二钠增强MRI扫描方案专家共识,中华医学会影像技术分会,站内免费下载,https://guide.medlive.cn/guideline/19836
完全植入式输液港上海专家共识（2019）,中心静脉通路上海协作组,有其他版本站内免费下载,https://guide.medlive.cn/guideline/19828
机器人甲状腺及甲状旁腺手术中神经电生理监测临床操作专家共识（2019 版）,中国医师协会外科医师分会,站内免费下载,https://guide.medlive.cn/guideline/19824
中国儿童代谢健康型肥胖定义与筛查专家共识,妇幼健康研究会,站内免费下载,https://guide.medlive.cn/guideline/19821
