标题,来源,下载方式,链接
骨科择期手术加速康复围手术期并存呼吸系统疾病华西医院多学科评估与处理专家共识,华西医院多学科专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22451
腹腔镜肾盂成型术手术规范专家共识,《腹腔镜肾盂成型术手术规范专家共识》专家组,站内免费下载,https://guide.medlive.cn/guideline/23133
中国食管鳞癌癌前状态及癌前病变诊治策略专家共识,国家消化系统疾病临床医学研究中心（上海）,会员可通过APP阅读,https://guide.medlive.cn/guideline/22988
产超广谱β内酰胺酶肠杆菌感染急诊诊疗中国专家共识,产超广谱β 内酰胺酶肠杆菌感染急诊诊疗中国专家共识组,会员可通过APP阅读,https://guide.medlive.cn/guideline/22890
淋巴瘤自体造血干细胞动员和采集中国专家共识（2020年版）,"中华医学会血液学分会(CMA,CHINESE MEDICAL ASSOCIATION)",会员可通过APP阅读,https://guide.medlive.cn/guideline/22704
颈椎病牵引治疗专家共识,中国康复医学会(Chinese Association Of Rehabilitation Medicine),站内免费下载,https://guide.medlive.cn/guideline/22661
成人食管异物急诊处置专家共识（2020版）,中国企业管理研究会公共卫生与医疗健康管理研究院,站内免费下载,https://guide.medlive.cn/guideline/22658
支气管肺泡灌洗液细胞形态学检验中国专家共识（2020）,中国检验科相关专家小组（统称）,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22656
房间隔分流器治疗射血分数保留心力衰竭：中国专家认识和建议,"中国医师协会心血管内科医师分会(CCCP,Chinese College of Cardiovascular Physicians)",站内免费下载,https://guide.medlive.cn/guideline/22655
中国中性粒细胞缺乏伴发热患者抗菌药物临床应用指南（2020年版）,"中华医学会血液学分会(CMA,CHINESE MEDICAL ASSOCIATION)",有解读有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22646
中国超重/肥胖不孕不育患者体质量管理路径与流程专家共识,中国超重/肥胖不孕不育患者体质量管理路径与流程专家共识编写组,会员可通过APP阅读,https://guide.medlive.cn/guideline/22530
卵巢癌患者的营养治疗专家共识,中国抗癌协会肿瘤营养与支持治疗专业委员会,站内免费下载,https://guide.medlive.cn/guideline/22525
无创心电生理检查中新型冠状病毒肺炎防控专家建议,武汉医学会心电生理与起搏分会,站内免费下载,https://guide.medlive.cn/guideline/22517
子宫内膜癌患者的营养治疗专家共识,中国抗癌协会肿瘤营养与支持治疗专业委员会,站内免费下载,https://guide.medlive.cn/guideline/22510
中国头皮抗衰专家共识,中国整形美容协会,站内免费下载,https://guide.medlive.cn/guideline/22508
新型冠状病毒肺炎疫情下加快开展智慧药学服务的专家共识（第二版）,中国智慧药学联盟专家组,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22744
《妊娠期糖尿病临床护理实践指南》推荐意见专家共识,中国护理相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22503
重组人白介素-11防治血小板减少症临床应用中国专家共识（2021年版）,中国临床肿瘤学会抗淋巴瘤联盟,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22495
心源性卒中诊断中国专家共识（2020）,中华医学会老年医学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/22487
医疗机构工作人员新型冠状病毒疫苗应急接种专家共识,中国感染病相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22486
心血管植入型电子器械术后随访的专家共识（2020）,中华医学会心电生理和起搏分会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22478
时行感冒轻症云南中成药应用专家共识,"中华中医药学会(CACM,China Association of Chinese Medcine)",站内免费下载,https://guide.medlive.cn/guideline/22459
呼吸道传染病产生气溶胶高风险护理操作防护专家共识,华中科技大学同济医学院附属同济医院护理部,站内免费下载,https://guide.medlive.cn/guideline/22450
子宫癌肉瘤诊治中国专家共识（2020 年版）,中国医师协会微无创医学专业委员会妇科肿瘤专业委员会（学组）,站内免费下载,https://guide.medlive.cn/guideline/22449
中国干眼专家共识：治疗（2020年）,亚洲干眼协会中国分会,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22437
儿童常见喘息性疾病抗病原微生物药物合理应用专家共识,中国医师协会儿科医师分会儿童呼吸专业委员会,站内免费下载,https://guide.medlive.cn/guideline/22424
肛瘘诊治中国专家共识（2020版）,中国医师协会肛肠医师分会临床指南工作委员会,会员可通过APP阅读,https://guide.medlive.cn/guideline/22416
2020年中国肠易激综合征专家共识意见,"中华医学会消化病学分会(CSGE,Chinese Society Of Gastroenterology)",有解读有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22415
宫腔镜手术子宫颈预处理临床实践指南,中华医学会妇产科学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/22414
中国心血管病一级预防指南,中华医学会心血管病学分会(Chinese Society of Cardiology),有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22410
中国多学科微血管疾病诊断与治疗专家共识,中国老年医学学会心血管病分会,站内免费下载,https://guide.medlive.cn/guideline/22403
2020心肌梗死后心力衰竭防治专家共识,"中国医师协会心血管内科医师分会(CCCP,Chinese College of Cardiovascular Physicians)",站内免费下载,https://guide.medlive.cn/guideline/22400
中医药防治原发性骨质疏松症专家共识（2020）,"中国老年学和老年医学学会(CAGG,China Association of Gerontology and Geriatrics)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22388
床旁超声在急诊体外膜肺氧合治疗中的应用推荐,国内急诊/重症相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22358
舒张性心力衰竭早期防治专家建议,中国心衰中心联盟,站内免费下载,https://guide.medlive.cn/guideline/22351
新型抗肿瘤药物临床应用指导原则（2020年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22344
成人生长激素缺乏症诊治专家共识（2020版）,"中华医学会内分泌学分会(CSE,Chinese Society of Endocrinology)",会员可通过APP阅读,https://guide.medlive.cn/guideline/22423
2020 临床实践建议：局灶性和节段性肾小球硬化/激素耐药型肾病综合征复发,肾脏病相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22349
2019 JOA指南：股骨头坏死,"日本骨科学会(JOA,Japanese Orthopaedic Association)",站内免费下载,https://guide.medlive.cn/guideline/22368
2020 专家共识：非小细胞肺癌的新辅助免疫治疗,中国肿瘤科相关专家小组（统称）,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22541
鳖甲煎丸治疗肝纤维化临床应用专家共识,"中华中医药学会(CACM,China Association of Chinese Medcine)",站内免费下载,https://guide.medlive.cn/guideline/22356
2020 法国建议：系统性坏死性血管炎的管理（结节性多动脉炎和ANCA相关性血管炎）,国外风湿免疫科相关专家小组,站内免费下载,https://guide.medlive.cn/guideline/22341
2020 专家建议：银屑病患者的生物治疗,国外皮肤性病相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22350
上海市产科静脉血栓栓塞症的综合管理共识,上海市母婴安全专家委员会,站内免费下载,https://guide.medlive.cn/guideline/22372
2020 转甲状腺素淀粉样变性胃肠道表现的诊断和管理建议,国外消化科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22393
2020 RCS多学科指南：COVID-19通气患者选择性气管造口插入术,"英国皇家外科医生学会(RCS,Royal College of Surgeons)",第三方数据库下载,https://guide.medlive.cn/guideline/22425
步态图评估膝关节运动功能的专家共识 （2020年版）,"中华医学会骨科学分会(COA,Chinese Orthopaedic Association)",站内VIP下载,https://guide.medlive.cn/guideline/22990
经远端桡动脉行冠状动脉介入诊疗中国专家共识,《经远端桡动脉行冠状动脉介入诊疗中国专家共识》专家组,站内免费下载,https://guide.medlive.cn/guideline/22550
2型糖尿病病证结合诊疗指南,"中国医师协会中西医结合医师分会(DSIM/CMDA,Doctor Society of integrative Medicine，Chinese Medical Doctor Association)",站内免费下载,https://guide.medlive.cn/guideline/22353
髌股关节骨关节炎手术治疗专家共识,国家老年疾病临床医学研究中心,站内免费下载,https://guide.medlive.cn/guideline/22342
中国泌尿外科围手术期血栓预防与管理专家共识,中国抗癌协会泌尿肿瘤专业委员会,站内免费下载,https://guide.medlive.cn/guideline/22337
胰腺癌放射治疗专家共识（2020年版）,胰腺癌放射治疗专家共识协作组(2020),站内免费下载,https://guide.medlive.cn/guideline/22336
2020 ESNM/ANMS共识：难治性胃食管反流病的诊断和治疗,"欧洲神经胃肠病学与动力学会(ESNM,European Society of Neurogastroenterology and Motility)",站内免费下载,https://guide.medlive.cn/guideline/22346
2021 ACC专家共识决策路径：经皮冠状动脉介入术后当日出院,"美国心脏病学会(ACC,American College of Cardiology)",第三方数据库下载,https://guide.medlive.cn/guideline/22426
2020 MASCC临床实践建议：免疫相关不良事件的管理——肺毒性,"癌症支持疗法多国学会(MASCC,Multinational Association of Supportive Care in Cancer)",第三方数据库下载,https://guide.medlive.cn/guideline/22768
2020 MASCC临床实践建议：检查点抑制剂引起的严重胃肠道和肝脏毒性的管理,"癌症支持疗法多国学会(MASCC,Multinational Association of Supportive Care in Cancer)",站内免费下载,https://guide.medlive.cn/guideline/22769
前列腺盆腔综合征中国专家共识,中国医师协会男科与性学医师分会,站内免费下载,https://guide.medlive.cn/guideline/22335
2020 加拿大指南：结直肠癌腹膜转移的管理,国外肿瘤科相关专家小组（统称）,第三方数据库下载,https://guide.medlive.cn/guideline/22367
2020 共识建议：优化生物标志物检测以识别和治疗晚期EGFR突变的非小细胞肺癌,国外肿瘤科相关专家小组（统称）,第三方数据库下载,https://guide.medlive.cn/guideline/22391
幽门螺杆菌-尿素呼气试验临床应用专家共识（2020年）,国家消化系疾病临床医学研究中心,会员可通过APP阅读,https://guide.medlive.cn/guideline/22332
新生儿坏死性小肠结肠炎临床诊疗指南（2020）,中国医师协会新生儿科医师分会,站内免费下载,https://guide.medlive.cn/guideline/22314
国家基本医疗保险、工伤保险和生育保险药品目录（2020年）,国家医疗保障局,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22325
新型冠状病毒感染者脊柱外科急诊手术的围手术期管理专家共识,中国骨科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22291
2020 儿科医生临床实践指南：儿童复发性口疮性口炎,国外口腔科相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/22294
2020 RANZCP临床实践指南：心境障碍,,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22290
2020 多学会指南：软式消化内镜及配件的再处理,"美国胃肠内镜学会(ASGE,American Society for Gastrointestinal Endoscopy)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22309
2020 国际专家共识：COVID-19的多器官床旁即时超声检查,国外急诊/重症相关专家小组（统称）,有翻译站内免费下载,https://guide.medlive.cn/guideline/22684
2020 多发性骨髓瘤的管理建议,国外血液科相关专家小组,第三方数据库下载,https://guide.medlive.cn/guideline/22300
2020 EAN/EPAD立场声明：轻度认知障碍患者的诊断，生物标志物和管理,"欧洲神经病学学会(EAN,European Academy of Neurology)",站内免费下载,https://guide.medlive.cn/guideline/22339
2020 BCSH指南：毛细胞白血病及变异型毛细胞白血病的诊断和治疗（修订版）,"英国血液学标准委员会(BCSH,British Committee for Standards in Haematology)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22369
2020中国药理学会指南：万古霉素治疗药物监测（更新版）,中国药理学会(Chinese Pharmacological Society),有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/22434
2020 WHO指南：儿童慢性疼痛的管理,"世界卫生组织(WHO,The World Health Organization)",站内免费下载,https://guide.medlive.cn/guideline/23074
2020 AAS/AAN/IFCN共识声明：自主神经系统的电诊断评估,"美国自主神经科学学会(AAS,American Autonomic Society)",站内免费下载,https://guide.medlive.cn/guideline/22413
中国帕金森病治疗指南（第四版）,中华医学会神经病学分会帕金森病及运动障碍学组,有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/22268
2020 BHIVA/BASHH/BIA指南：成人HIV检测,"英国艾滋病协会(BHIVA,British HIV Association)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/22261
2020 ESGE指南：成人肠管的内镜管理—第2部分：内镜操作前后的管理,"欧洲胃肠道内窥镜学会(ESGE,European Society of Gastrointestinal Endoscopy)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/22281
新型抗肿瘤药物临床应用指导原则（2021年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/24809
2020 SGP建议：长期机械通气,"瑞士肺病学会(SGP,Swiss Society of Pulmonology)",第三方数据库下载,https://guide.medlive.cn/guideline/22315
