标题,来源,下载方式,链接
恶性肿瘤患者膳食营养处方专家共识,中国抗癌协会肿瘤营养与支持治疗专业委员会,站内免费下载,https://guide.medlive.cn/guideline/15656
儿童肺炎支原体肺炎中西医结合诊治专家共识（2017年制定）,"中华中医药学会(CACM,China Association of Chinese Medcine)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/15460
布鲁菌病诊疗专家共识,《中华传染病杂志》编辑委员会,有解读会员可通过APP阅读,https://guide.medlive.cn/guideline/15404
结直肠癌术中腹腔化疗专家意见（2017版）,中国医师协会结直肠肿瘤专委会,站内免费下载,https://guide.medlive.cn/guideline/15274
心电图危急值2017中国专家共识,中国心电学会,站内免费下载,https://guide.medlive.cn/guideline/15247
中西医结合Ⅰ期心脏康复共识,国家心血管病中心,站内免费下载,https://guide.medlive.cn/guideline/15238
手癣和足癣诊疗指南（2017修订版）,中国中西医结合学会皮肤性病专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/15103
神经源性膀胱护理实践指南（2017年版）,中国康复医学会(Chinese Association Of Rehabilitation Medicine),有其他版本站内免费下载,https://guide.medlive.cn/guideline/15080
复发性外阴阴道念珠菌病中西医结合治疗专家共识,中国中西医结合学会皮肤性病专业委员会,站内免费下载,https://guide.medlive.cn/guideline/15061
中国临床医学真实世界研究施行规范,中国临床医学真实世界研究施行规范专家委员会,站内VIP下载,https://guide.medlive.cn/guideline/15053
放射性125I粒子植入治疗胰腺癌中国专家共识(2017年版),中国医师协会放射性粒子治疗技术专家委员会,有解读站内免费下载,https://guide.medlive.cn/guideline/15040
孕产期心身障碍临床路径（2017版）,妇产科相关专家组（统称）,站内VIP下载,https://guide.medlive.cn/guideline/15026
人类免疫缺陷病毒感染患者创伤后救治的专家共识,"中国研究型医院学会(CRHA,Chinese Research Hospital Association)",站内免费下载,https://guide.medlive.cn/guideline/14948
寻常型银屑病中医外治特色疗法专家共识（2017年）,中国中西医结合学会皮肤性病专业委员会,站内免费下载,https://guide.medlive.cn/guideline/14931
吡格列酮二甲双胍复方制剂临床应用专家建议,中国内分泌相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/14887
结直肠癌肝转移腹腔镜/机器人同期联合切除技术指南（2017修订）,"中国研究型医院学会(CRHA,Chinese Research Hospital Association)",站内VIP下载,https://guide.medlive.cn/guideline/14886
肾癌伴静脉瘤栓北京专家共识,北京市瘤栓协作小组,站内免费下载,https://guide.medlive.cn/guideline/14884
冠状动脉旁路移植术后置入主动脉球囊反搏护理专家共识,国家心血管病中心,站内免费下载,https://guide.medlive.cn/guideline/14859
胃内镜黏膜下剥离术围术期指南,国家消化系统疾病临床医学研究中心,站内免费下载,https://guide.medlive.cn/guideline/14847
儿童肺炎支原体肺炎中西医结合诊治专家共识（2017年制定）,"中华中医药学会(CACM,China Association of Chinese Medcine)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/14839
功能性消化不良中西医结合诊疗共识意见（2017年）,中国中西医结合学会消化系统疾病专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/14808
浙江省重症康复专家共识,浙江省医学会物理医学与康复学分会重症康复专业委员会,站内免费下载,https://guide.medlive.cn/guideline/14806
肝纤维化中西医结合诊疗共识意见（2017年）,中国中西医结合学会消化系统疾病专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/14793
急性胰腺炎中西医结合诊疗共识意见（2017年）,中国中西医结合学会消化系统疾病专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/14789
2016 KCDC指南：成人急性上呼吸道感染抗生素的应用,"韩国疾病控制和预防中心(KCDC,Korea Centers for Disease Control and Prevention)",站内免费下载,https://guide.medlive.cn/guideline/14780
新生儿缺氧缺血性脑病磁共振诊断与损伤类型的分类建议,中国医师协会新生儿科医师分会,站内免费下载,https://guide.medlive.cn/guideline/14769
恶性中心气道狭窄经支气管镜介入诊疗专家共识,北京健康促进会呼吸及肿瘤介入诊疗联盟,有其他版本站内VIP下载,https://guide.medlive.cn/guideline/14768
创伤失血性休克早期救治规范,中国医师协会创伤外科医师分会,有解读站内免费下载,https://guide.medlive.cn/guideline/14766
先天性并指畸形诊疗的专家共识,中华医学会手外科学分会手部先天畸形学组,站内免费下载,https://guide.medlive.cn/guideline/14760
北京市癌症疼痛管理规范（2017年版）,北京市疼痛治疗质量控制和改进中心癌痛专家组,站内免费下载,https://guide.medlive.cn/guideline/14757
2017 儿童机械通气共识会议建议：重症儿童患者机械通气,"欧洲儿童、新生儿重症监护学会(ESPNIC,European Society of Paediatric and Neonatal Intensive Care)",站内免费下载,https://guide.medlive.cn/guideline/16422
2017 KSFP临床指南：乳腺癌患者生育能力保留,"韩国生育能力保留学会(KSFP,Korean Society for Fertility Preservation)",站内免费下载,https://guide.medlive.cn/guideline/14940
2017 KSFP临床指南：血液恶性疾病患者生育能力保留,"韩国生育能力保留学会(KSFP,Korean Society for Fertility Preservation)",站内免费下载,https://guide.medlive.cn/guideline/14932
2017 CUA指南：婴儿常见包皮的护理以及新生儿包皮环切术,"加拿大泌尿外科协会(CUA,Canadian Urological Association)",第三方数据库下载,https://guide.medlive.cn/guideline/15075
2017 ASER/POQI联合共识声明：加速择期结直肠癌手术康复术后胃肠功能紊乱,"美国促进恢复学会(ASER,American Society for Enhanced Recovery)",站内免费下载,https://guide.medlive.cn/guideline/14770
中国临床瘢痕防治专家共识,中国临床瘢痕防治专家共识制定小组,站内VIP下载,https://guide.medlive.cn/guideline/14814
2017 共识建议：囊性纤维化结直肠癌筛查,国外肿瘤科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/14744
2017 ESPGHAN意见书：儿童慢性丙肝感染的治疗,"欧洲儿科胃肠病学、肝病学和营养协会(ESPGHAN,European Society for Paediatric Gastroenterology, Hepatology, and Nutrition)",有翻译有其他版本站内免费下载,https://guide.medlive.cn/guideline/14764
2017 AAN指南：轻度认知障碍（更新）,"美国神经病学学会(AAN,American Academy of Neurology)",有解读第三方数据库下载,https://guide.medlive.cn/guideline/14746
2017 荷兰乳房重建指南,荷兰乳房重建指南工作组,站内免费下载,https://guide.medlive.cn/guideline/14863
子宫肌瘤的诊治中国专家共识,子宫肌瘤的诊治中国专家共识专家组,会员可通过APP阅读,https://guide.medlive.cn/guideline/14739
围手术期血糖管理医-药专家共识,广东省药学会,站内免费下载,https://guide.medlive.cn/guideline/14721
2017 ACFAS共识声明：成人获得性跟下足跟痛的诊断和管理,"美国足踝外科医师协会(ACFAS,American College of Foot and Ankle Surgeons)",站内免费下载,https://guide.medlive.cn/guideline/14741
中国成人肥厚型心肌病诊断与治疗指南,中华医学会心血管病学分会(Chinese Society of Cardiology),有解读有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/14709
2017 加拿大共识声明：原发肿瘤位置在转移性结直肠癌的治疗的预期作用,国外肿瘤科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/14705
2017 ASGE指南：胃肠内镜检查的镇静和麻醉,"美国胃肠内镜学会(ASGE,American Society for Gastrointestinal Endoscopy)",站内免费下载,https://guide.medlive.cn/guideline/14787
2017 AACE/ACE立场声明：自主神经和躯体神经功能障碍的检测,"美国临床内分泌医师学会(AACE,American Association of Clinical Endocrinologists)",站内免费下载,https://guide.medlive.cn/guideline/15518
泌尿道感染诊治循证指南2016,中华医学会儿科学分会,有解读会员可通过APP阅读,https://guide.medlive.cn/guideline/14686
2017 ASRA/ESRA/AAPM/INS/NANS/WIP指南:服用抗血小板和抗凝药物患者进行脊柱和疼痛介入治疗(第2版),"美国区域麻醉和疼痛医学学会(ASRA,American Society of Regional Anesthesia and Pain Medicine)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/14733
2017 CUA/PUC指南：产前检测发现肾盂积水的调查和管理,"加拿大泌尿外科协会(CUA,Canadian Urological Association)",第三方数据库下载,https://guide.medlive.cn/guideline/14821
多发性硬化的诊断：2017版McDonald标准,国际多发性硬化专家组(International Panel of MS),有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/14788
2017 昆士兰产科与新生儿临床指南：新生儿黄疸,"昆士兰卫生组织(QLD,Queensland Health)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/14698
2017 ISRNM共识声明：血液透析治疗期间饮食,"国际肾营养和代谢学会(ISRNM,International Society of Renal Nutrition and Metabolism)",有解读站内免费下载,https://guide.medlive.cn/guideline/14675
2017 SVS实践指南：腹主动脉瘤患者的护理,"血管外科学会(SVS,Society for Vascular Surgery)",有解读站内免费下载,https://guide.medlive.cn/guideline/14692
2017 ACC专家共识：优化心衰治疗的决策路径,"美国心脏病学会(ACC,American College of Cardiology)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/14701
2017 ECG/EUGMS专家观点：欧洲老年人口腔健康建议,"欧洲老年口腔医学会(ECG,European College of Gerodontology)",站内免费下载,https://guide.medlive.cn/guideline/14706
2017 韩国专家建议：免疫性血小板减少症的管理,"韩国血液学会(KSH,Korean Society of Hematology)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/14849
中国慢性胃炎共识意见精简版（2017年，上海）,"中华医学会消化病学分会(CSGE,Chinese Society Of Gastroenterology)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/15592
2017 ESGE/ESHRE/WES建议：手术治疗子宫内膜异位症,"欧洲妇科内镜学会(ESGE,European Society for Gynaecological Endoscopy)",站内免费下载,https://guide.medlive.cn/guideline/14753
氟喹诺酮类抗菌药物在儿童应用中的专家共识,广东省药学会,站内免费下载,https://guide.medlive.cn/guideline/14730
2018 CCS/CAIC指南：抗血小板治疗的应用（更新版）,"加拿大心血管学会(CCS,Canadian Cardiovascular Society)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/14763
2017 EMN共识：多发性骨髓瘤新药不良事件的预防和管理,"欧洲骨髓瘤网络(EMN,European Myeloma Network)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/14666
2017 CAP指南：头颈部恶性肿瘤患者人类乳头瘤病毒检测,"美国病理学家协会(CAP,College of American Pathologists)",第三方数据库下载,https://guide.medlive.cn/guideline/14664
2017 亚太专家组共识建议：应用外用非甾体类抗炎药管理骨关节炎疼痛,亚太地区骨科专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/14673
2017 AHA科学声明：儿童和青少年时期遭遇不幸和心血管代谢结局,"美国心脏协会(AHA,American Heart Association)",第三方数据库下载,https://guide.medlive.cn/guideline/14684
2017 JGES指南：内窥镜下括约肌切开术,"日本消化器内视镜学会(JGES,The Japan Gastroenterological Endoscopy Society)",站内免费下载,https://guide.medlive.cn/guideline/14663
2017 ASPMN/HPNA立场声明：临终期疼痛的管理,"美国疼痛治疗护理学会(ASPMN,American Society for Pain Management Nursing)",站内免费下载,https://guide.medlive.cn/guideline/14695
癌痛患者护理指引专家共识（2017年版）,中华护理学会,站内免费下载,https://guide.medlive.cn/guideline/14909
HPV感染疾病相关问题专家共识（2017）,中国感染病相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/14712
2017 KDA立场声明：胰高血糖素样肽-1受体激动剂治疗2型糖尿病,"韩国糖尿病协会(KDA,Korean Diabetes Association)",站内免费下载,https://guide.medlive.cn/guideline/14694
2017 拉丁美洲共识：儿童心肺复苏术,拉丁美洲儿童重症监护学会(Latin American Pediatric Critical Care Society),站内免费下载,https://guide.medlive.cn/guideline/14676
新生儿和低体重新生儿麻醉指南（2017版）,中华医学会麻醉学分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/15983
小儿吸入麻醉诱导专家指导意见（2017版）,中华医学会麻醉学分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/15973
小儿围术期液体和输血管理指南（2017版）,中华医学会麻醉学分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/15962
椎管内阻滞并发症防治专家共识（2017）,中华医学会麻醉学分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/15958
2017 ERS声明：介入性儿童支气管镜检查,"欧洲呼吸学会(ERS,European Respiratory Society)",第三方数据库下载,https://guide.medlive.cn/guideline/14654
加拿大麻醉医师学会：麻醉实践指南（2018修订版）,"加拿大麻醉医师学会(CAS,Canadian Anesthesiologists' Society)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/14651
2017 ESMO意见书：支持治疗和姑息治疗,"欧洲肿瘤内科学会(ESMO,European Society for Medical Oncology)",站内免费下载,https://guide.medlive.cn/guideline/14687
2017 嗜酸性筋膜炎的诊断标准，严重性分级和治疗指南,国外皮肤性病相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/14656
2017 BRS多学科共识建议：鼻衄的住院管理,"英国鼻科学会(BRS,British Rhinological Society)",有解读站内免费下载,https://guide.medlive.cn/guideline/14732
中华人民共和国卫生行业标准-结核病分类（WS 196-2017）,"中华人民共和国国家卫生和计划生育委员会(NHFPC,National Health and Family Planning Commission of China)",站内免费下载,https://guide.medlive.cn/guideline/15466
2017 EANM指南：转移性去势难治性前列腺癌应用镭-233放射治疗,"欧洲核医学协会(EANM,European Association of Nuclear Medicine)",站内免费下载,https://guide.medlive.cn/guideline/14659
2017 USPSTF建议声明：激素治疗用于绝经女性慢性疾病的一级预防,"美国预防医学工作组(USPSTF,U.S. Preventive Services Task Force)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/14653
