标题,来源,下载方式,链接
脉搏轮廓心排血量监测技术在严重烧伤治疗中应用的全国专家共识（2018版）,中国老年医学学会烧创伤分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/23335
中国经导管主动脉瓣置入术(TAVI)多学科专家共识,国家心血管病专家委员会微创心血管外科专业委员会,会员可通过APP阅读,https://guide.medlive.cn/guideline/21993
营养素补充剂使用科学共识,"中国营养学会(CNS,Chinese Nutrition Society)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17690
腹膜后肿瘤三维可视化精准诊治专家共识（2018版）,中华医学会数字医学分会,站内免费下载,https://guide.medlive.cn/guideline/17630
胆囊癌三维可视化诊治专家共识（2018版）,中华医学会数字医学分会,站内免费下载,https://guide.medlive.cn/guideline/17623
培哚普利/吲达帕胺固定剂量复方制剂降压治疗中国专家共识,中国心血管病相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17529
恶性肿瘤放疗患者营养治疗专家共识,中国抗癌协会肿瘤营养与支持治疗专业委员会,站内免费下载,https://guide.medlive.cn/guideline/17526
2018 WHO指南：成人和青少年癌痛的药物治疗和放射治疗管理,"世界卫生组织(WHO,The World Health Organization)",站内免费下载,https://guide.medlive.cn/guideline/17506
格列齐特缓释片临床应用快速指导建议,中国内分泌相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17500
儿童青少年近视眼检测与防控的应用标准,中国医学装备协会眼科专业委员会,站内免费下载,https://guide.medlive.cn/guideline/17404
口服营养补充对结直肠手术患者加速康复的全程管理岭南专家共识（2018 版）,广东省医师协会,站内免费下载,https://guide.medlive.cn/guideline/17398
中国消化内镜诊疗镇静/麻醉操作技术规范,国家消化内镜质控中心,站内免费下载,https://guide.medlive.cn/guideline/17379
多发性硬化/视神经脊髓炎中医临床诊疗规范,北京中医药学会脑病专业委员会,站内免费下载,https://guide.medlive.cn/guideline/17370
针刺伤防护的护理专家共识,中华护理学会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17348
合理应用药物治疗前列腺炎的临床专家意见,中国泌尿外科相关专家组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17346
前列舒通胶囊在慢性前列腺炎中临床应用中国专家共识,中国中医药信息学会男科分会,站内免费下载,https://guide.medlive.cn/guideline/17321
经尿道前列腺等离子电切安全共识,中国医疗保健国际交流促进会,站内免费下载,https://guide.medlive.cn/guideline/17315
经尿道膀胱肿瘤等离子电切安全共识,中国医疗保健国际交流促进会,站内免费下载,https://guide.medlive.cn/guideline/17307
足癣（脚湿气）中医治疗专家共识,"中华中医药学会(CACM,China Association of Chinese Medcine)",站内免费下载,https://guide.medlive.cn/guideline/17305
2018 WHO建议：妊娠期严重高血压的药物治疗,"世界卫生组织(WHO,The World Health Organization)",站内免费下载,https://guide.medlive.cn/guideline/17295
中国非肌层浸润性膀胱癌治疗与监测循证临床实践指南（2018简化版）,"中国研究型医院学会(CRHA,Chinese Research Hospital Association)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17281
中国肝细胞癌经动脉化疗栓塞治疗（TACE）临床实践指南,中国医师协会介入医师分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17273
造血干细胞移植治疗重型β地中海贫血儿科专家共识,广东省地中海贫血防治协会,站内免费下载,https://guide.medlive.cn/guideline/17261
儿童非输血依赖型地中海贫血的诊治和管理专家共识,广东省地中海贫血防治协会,站内免费下载,https://guide.medlive.cn/guideline/17253
多发性硬化诊断和治疗中国专家共识（2018版）,中国免疫学会神经免疫学分会,有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/17226
慢性肌肉骨骼疼痛的药物治疗专家共识（2018）,中国医师协会疼痛科医师分会,有解读站内免费下载,https://guide.medlive.cn/guideline/17216
中国经导管主动脉瓣置换术临床路径专家共识,中华医学会心血管病学分会(Chinese Society of Cardiology),有其他版本站内免费下载,https://guide.medlive.cn/guideline/17207
中国老年骨质疏松症诊疗指南（2018）,《中国老年骨质疏松症诊疗指南》( 2018) 工作组,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17239
儿童原发中枢神经系统生殖细胞肿瘤多学科诊疗专家共识,中国抗癌协会小儿肿瘤专业委员会,站内免费下载,https://guide.medlive.cn/guideline/17294
2018 SOGC临床实践指南：死产后妊娠管理（No.369）,"加拿大妇产科医生协会(SOGC,Society of Obstetricians and Gynaecologists of Canada)",站内免费下载,https://guide.medlive.cn/guideline/17237
2018 ACOG/SMFM产科护理共识：胎盘植入性疾病,"美国妇产科医师学会(ACOG,American College of Obstetricians and Gynecologists)",有解读站内免费下载,https://guide.medlive.cn/guideline/19315
2018 ERAS建议：剖宫产产前和术前护理指南,"促进术后恢复学会(ERAS,The Enhanced Recovery After Surgery Society)",有解读站内免费下载,https://guide.medlive.cn/guideline/17481
化疗所致恶心呕吐全程管理上海专家共识（2018年版）,上海市抗癌协会癌症康复与姑息专业委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/22848
2018 WHO指南：流产的医学管理,"世界卫生组织(WHO,The World Health Organization)",站内免费下载,https://guide.medlive.cn/guideline/17384
2018 GOC/SOGC临床实践指南：外阴鳞状上皮细胞癌的管理（No.370）,"加拿大妇科肿瘤学会(GOC,Society of Gynecologic Oncology of Canada)",站内免费下载,https://guide.medlive.cn/guideline/17193
2018 韩国循证实践指南：胃食管反流病的手术治疗,国外消化科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17241
2018 WHO全球指南：手术部位感染的预防（第2版）,"世界卫生组织(WHO,The World Health Organization)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17223
2018 KSPGHAN临床实践指南：儿童肥胖的诊断和治疗,"韩国儿科胃肠病学、肝病学和营养协会(KSPGHAN,Korean Society of Pediatric Gastroenterology Hepatology and Nutrition)",站内免费下载,https://guide.medlive.cn/guideline/17198
胸壁肿瘤切除及胸壁重建手术中国专家共识（2018版）,中国医师协会胸外科医师分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17185
2018 B细胞靶向治疗自身免疫性疾病继发性低丙种球蛋白血症的管理建议,国外风湿免疫科相关专家小组,站内免费下载,https://guide.medlive.cn/guideline/17212
2018年中国蛇伤救治专家共识,中国蛇伤救治专家共识组,站内免费下载,https://guide.medlive.cn/guideline/17186
子宫内膜异位症长期管理中国专家共识,中国医师协会妇产科医师分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/17302
排卵障碍性异常子宫出血诊治指南,中华医学会妇产科学分会,会员可通过APP阅读,https://guide.medlive.cn/guideline/17300
2018 ASTCT共识：免疫效应细胞相关的细胞因子释放综合征和神经毒性的分级,"美国移植与细胞治疗学会(ASTCT,American Society for Transplantation and Cellular Therapy)",有解读站内免费下载,https://guide.medlive.cn/guideline/17219
外泌体研究、转化和临床应用专家共识,中国抗癌协会肿瘤标志专业委员会外泌体技术专家委员会,站内免费下载,https://guide.medlive.cn/guideline/17188
甲状腺外科ERAS中国专家共识（2018版）,中国抗癌协会头颈肿瘤专业委员会,站内免费下载,https://guide.medlive.cn/guideline/17182
无创正压通气急诊临床实践专家共识（2018）,"中国医师协会急诊医师分会(CHINESE COLLEGE OF EMERGENCY PHYSICANS,CCEP)",站内免费下载,https://guide.medlive.cn/guideline/17161
2018 专家共识：超说明书抗精神病药转换为匹莫范色林治疗帕金森精神病指导,国外精神科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17195
2018 意大利共识建议：类风湿性关节炎丙型肝炎感染的管理,"意大利风湿病学学会(SIR,Italian Society of Rheumatology)",站内免费下载,https://guide.medlive.cn/guideline/17175
2018 临床实践指南：IgG4相关性硬化性胆管炎,国外肝病科相关专家小组（统称）,第三方数据库下载,https://guide.medlive.cn/guideline/17266
中国公众心肺复苏卫生健康指南,中华医学会科学普及分会,站内免费下载,https://guide.medlive.cn/guideline/18412
含银敷料在创面治疗中应用的全国专家共识（2018版）,中国老年医学学会烧创伤分会,站内VIP下载,https://guide.medlive.cn/guideline/17467
超声引导微波（射频）消融治疗乳腺纤维腺瘤专家共识,超声引导微波( 射频) 消融治疗乳腺纤维腺瘤全国多中心研究协作组,站内免费下载,https://guide.medlive.cn/guideline/17437
2018 WHO建议：足月或超期妊娠引产术,"世界卫生组织(WHO,The World Health Organization)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17328
2018 WHO建议：妊娠足月前重度先兆子痫的干预和预期管理政策,"世界卫生组织(WHO,The World Health Organization)",站内免费下载,https://guide.medlive.cn/guideline/17312
2018 WHO建议：应用子宫收缩剂预防产后出血,"世界卫生组织(WHO,The World Health Organization)",站内免费下载,https://guide.medlive.cn/guideline/17306
湖南省年轻女性乳腺癌患者生育力保存实施方案专家共识,湖南乳腺癌患者生育力保存专家协作组,站内免费下载,https://guide.medlive.cn/guideline/17296
2018 WHO临时指南：一线和二线抗逆转录病毒疗法和HIV暴露后预防以及婴儿HIV早期诊断建议（更新）,"世界卫生组织(WHO,The World Health Organization)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17244
难治性颅内压增高的监测与治疗中国专家共识,中华医学会神经病学分会神经重症协作组,会员可通过APP阅读,https://guide.medlive.cn/guideline/17210
2018 循证建议：成人1型强直性肌营养不良的管理,"强直性肌营养不良基金会(MDF,Myotonic Dystrophy Foundation)",站内免费下载,https://guide.medlive.cn/guideline/17203
慢性肺源性心脏病基层诊疗指南（2018年）,"中华医学会(CMA,Chinese Medical Association)",有其他版本会员可通过APP阅读,https://guide.medlive.cn/guideline/17199
影像学引导骨与软组织肿瘤冷冻消融治疗专家共识2018,中国医药教育协会,站内免费下载,https://guide.medlive.cn/guideline/17189
三氧自体血疗法专家共识,中华医学会麻醉学分会,站内免费下载,https://guide.medlive.cn/guideline/17162
脊髓损伤水疗康复中国专家共识,中国医师协会康复医师分会,站内免费下载,https://guide.medlive.cn/guideline/17136
2018 多学科共识：超声引导下胆道引流治疗恶性胆道梗阻,国外消化科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17196
2018 SOGC临床实践指南：妊娠期风疹（No. 368）,"加拿大妇产科医生协会(SOGC,Society of Obstetricians and Gynaecologists of Canada)",站内免费下载,https://guide.medlive.cn/guideline/17194
2019 ADA 糖尿病医学诊疗标准,"美国糖尿病学会(ADA,American Diabetes Association)",有解读有其他版本站内免费下载,https://guide.medlive.cn/guideline/17094
2018 帕金森病患者睡眠障碍的管理推荐专家共识,苏州大学附属第二医院神经内科,站内免费下载,https://guide.medlive.cn/guideline/21174
2018糖尿病临床照护指引（台湾地区）,台湾地区糖尿病专家小组（统称）,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17833
2018 IDSA临床实践指南：季节性流感的诊断，治疗预防性用药以及暴发的管理,"美国感染病学会(IDSA,Infectious Diseases Society of America)",有其他版本第三方数据库下载,https://guide.medlive.cn/guideline/17104
中国成人多导睡眠监测技术操作规范及临床应用专家共识,中国医师协会神经内科医师分会,站内VIP下载,https://guide.medlive.cn/guideline/17314
2018 EANM实践指南：口腔鳞状细胞癌前哨淋巴结定位,"欧洲核医学协会(EANM,European Association of Nuclear Medicine)",站内免费下载,https://guide.medlive.cn/guideline/17105
2018 国际工作组共识声明：儿童肾囊肿和囊性肾病的影像学检查,肾脏病相关专家小组（统称）,第三方数据库下载,https://guide.medlive.cn/guideline/17218
2018 AGA指南：轻-中度溃疡性结肠炎的管理,"美国胃肠病协会(AGA,American Gastroenterological Association)",第三方数据库下载,https://guide.medlive.cn/guideline/17165
2018 NICE/PHE指南：支气管扩张（非囊性纤维化）急性加重抗菌药物处方（NG.117）,"英国国家卫生与临床优化研究所 (NICE,National Institute for Health and Clinical Excellence)",站内免费下载,https://guide.medlive.cn/guideline/17111
2018 专家建议：非缺血型心肌炎症心血管核磁共振检查,国外心血管相关专家小组（统称）,有解读站内免费下载,https://guide.medlive.cn/guideline/17086
2018 临床实践指南：急性高危短暂性脑缺血发作和轻型缺血性卒中应用阿司匹林和氯吡格雷进行双抗治疗,国外神经内科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17375
2018 最佳实践建议：肺癌免疫组化诊断,"国际肺癌研究协会(IASLC,International Association for the Study of Lung Cancer)",第三方数据库下载,https://guide.medlive.cn/guideline/17190
2018 BAD指南：原发性皮肤淋巴瘤的管理,"英国皮肤科医师协会(BAD,British Association of Dermatologists)",站内免费下载,https://guide.medlive.cn/guideline/17093
加拿大麻醉医师学会：麻醉实践指南（2019修订版）,"加拿大麻醉医师学会(CAS,Canadian Anesthesiologists' Society)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17092
2018 WHO建议：妊娠期间补钙预防子痫及其并发症,"世界卫生组织(WHO,The World Health Organization)",站内免费下载,https://guide.medlive.cn/guideline/17336
慢性乙型肝炎中医诊疗指南（2018年版）,中华中医药学会肝胆病分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17088
2018 BTS指南：成人支气管扩张,"英国胸科协会(BTS,British Thoracic Society)",站内免费下载,https://guide.medlive.cn/guideline/17070
2018 意大利建议：先天性肌无力综合征的诊断和管理,国外神经内科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17077
2018 BAD指南：化脓性汗腺炎（逆向性痤疮）的管理,"英国皮肤科医师协会(BAD,British Association of Dermatologists)",站内免费下载,https://guide.medlive.cn/guideline/17075
2018 ASRM委员会意见：非梗阻性无精子症的治疗,"美国生殖医学会(ASRM,American Society for Reproductive Medicine)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17287
2018 多学科共识声明：成人糖尿病患者的预防接种,国外内分泌相关专家小组（统称）,有解读第三方数据库下载,https://guide.medlive.cn/guideline/17323
2018 AAFP指南：初级保健成年男性健康体检,美国家庭医生学会,有解读第三方数据库下载,https://guide.medlive.cn/guideline/18106
2018 中国共识：胃肠道间质瘤应用酪氨酸激酶抑制剂的相关副作用（英文版）,中国医师协会外科医师分会,站内免费下载,https://guide.medlive.cn/guideline/17184
成人股骨颈骨折诊治指南,"中华医学会骨科学分会(COA,Chinese Orthopaedic Association)",会员可通过APP阅读,https://guide.medlive.cn/guideline/17172
2018 WHO建议：妊娠期间补钙预防子痫及其并发症,"世界卫生组织(WHO,The World Health Organization)",站内免费下载,https://guide.medlive.cn/guideline/17336
慢性乙型肝炎中医诊疗指南（2018年版）,中华中医药学会肝胆病分会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17088
2018 BTS指南：成人支气管扩张,"英国胸科协会(BTS,British Thoracic Society)",站内免费下载,https://guide.medlive.cn/guideline/17070
2018 意大利建议：先天性肌无力综合征的诊断和管理,国外神经内科相关专家小组（统称）,站内免费下载,https://guide.medlive.cn/guideline/17077
2018 BAD指南：化脓性汗腺炎（逆向性痤疮）的管理,"英国皮肤科医师协会(BAD,British Association of Dermatologists)",站内免费下载,https://guide.medlive.cn/guideline/17075
2018 ASRM委员会意见：非梗阻性无精子症的治疗,"美国生殖医学会(ASRM,American Society for Reproductive Medicine)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17287
2018 多学科共识声明：成人糖尿病患者的预防接种,国外内分泌相关专家小组（统称）,有解读第三方数据库下载,https://guide.medlive.cn/guideline/17323
2018 AAFP指南：初级保健成年男性健康体检,美国家庭医生学会,有解读第三方数据库下载,https://guide.medlive.cn/guideline/18106
2018 中国共识：胃肠道间质瘤应用酪氨酸激酶抑制剂的相关副作用（英文版）,中国医师协会外科医师分会,站内免费下载,https://guide.medlive.cn/guideline/17184
成人股骨颈骨折诊治指南,"中华医学会骨科学分会(COA,Chinese Orthopaedic Association)",会员可通过APP阅读,https://guide.medlive.cn/guideline/17172
2018 WSES/SIS-E共识会议建议：皮肤软组织感染的管理,"世界急诊外科学会(WSES,World Society of Emergency Surgery)",站内免费下载,https://guide.medlive.cn/guideline/17107
2018 CUA指南：围术期血栓预防和抗凝治疗,"加拿大泌尿外科协会(CUA,Canadian Urological Association)",第三方数据库下载,https://guide.medlive.cn/guideline/17139
2018 ESC共识：急性深静脉血栓形成的诊断和管理,"欧洲心脏病学会(ESC,European Society of Cardiology)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17085
2018 加拿大卒中最佳实践建议：院前，急诊室以及紧急住院的卒中护理（第6版）,"加拿大心脏与卒中基金会(HSFC,Heart and Stroke Foundation of Canada)",有其他版本站内免费下载,https://guide.medlive.cn/guideline/17887
食管癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17135
原发性肺癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17133
甲状腺癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17132
胰腺癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17131
胃癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17129
乳腺癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17128
子宫内膜癌诊治规范（2018年版）,中华人民共和国国家卫生健康委员会,站内免费下载,https://guide.medlive.cn/guideline/17127
卵巢癌诊疗规范（2018年版）,中华人民共和国国家卫生健康委员会,有其他版本站内免费下载,https://guide.medlive.cn/guideline/17126
